data_trend,data_count,asset,canny,asset_size,input_prompt,CLIP,Lie_Factor,Match_count,Rank_Sim
falling,4,apartment,default,0.4,apartment building data,0.6,1.2,3,0.75
falling,5,apartment,blur,0.6,apartment values,0.65,1.3,4,0.8
falling,6,apartment,sparse,0.8,declining apartment prices,0.7,1.4,5,0.85
logarithmic,4,bottle,default,0.4,bottle consumption,0.55,1.1,3,0.7
logarithmic,5,bottle,blur,0.6,bottle usage trend,0.6,1.2,4,0.75
logarithmic,6,bottle,sparse,0.8,increasing bottle sales,0.65,1.3,5,0.8
falling,4,pine_tree,default,0.4,pine tree growth,0.5,1.0,2,0.65
falling,5,pine_tree,blur,0.6,pine forest decline,0.55,1.1,3,0.7
logarithmic,6,pine_tree,sparse,0.8,pine tree data trend,0.6,1.2,4,0.75
falling,4,thin_man,default,0.4,weight loss trend,0.45,0.9,2,0.6
logarithmic,5,thin_man,blur,0.6,height increase data,0.5,1.0,3,0.65
logarithmic,6,thin_man,sparse,0.8,human measurements,0.55,1.1,4,0.7 
