data_trend,data_count,asset,canny,asset_size,cond_scale,img_idx,input_prompt,CLIP,Lie_Factor,Match_count,Rank_Sim
falling,4,pine_tree,default,0.4,0.6,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3265,inf,1,0.0
falling,4,pine_tree,default,0.4,0.6,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3827,inf,0,0.0
falling,4,pine_tree,default,0.4,0.6,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3629,inf,1,0.0
falling,4,pine_tree,default,0.4,0.6,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.329,inf,1,0.0
falling,4,pine_tree,default,0.4,0.8,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3706,inf,0,0.0
falling,4,pine_tree,default,0.4,0.8,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3403,inf,1,0.0
falling,4,pine_tree,default,0.4,0.8,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3632,inf,0,0.0
falling,4,pine_tree,default,0.4,0.8,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3313,inf,1,0.0
falling,4,pine_tree,default,0.4,1.0,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3478,inf,0,0.0
falling,4,pine_tree,default,0.4,1.0,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3435,inf,0,0.0
falling,4,pine_tree,default,0.4,1.0,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3605,inf,1,0.0
falling,4,pine_tree,default,0.4,1.0,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3625,inf,0,0.0
falling,4,pine_tree,default,0.4,1.2,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3703,inf,0,0.0
falling,4,pine_tree,default,0.4,1.2,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3731,inf,0,0.0
falling,4,pine_tree,default,0.4,1.2,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3759,inf,0,0.0
falling,4,pine_tree,default,0.4,1.2,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3602,inf,0,0.0
falling,4,pine_tree,default,0.4,1.4,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3285,inf,0,0.0
falling,4,pine_tree,default,0.4,1.4,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3414,inf,0,0.0
falling,4,pine_tree,default,0.4,1.4,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3537,inf,1,0.0
falling,4,pine_tree,default,0.4,1.4,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3552,inf,0,0.0
falling,4,pine_tree,default,0.6,0.6,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3602,inf,1,0.0
falling,4,pine_tree,default,0.6,0.6,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3518,inf,1,0.0
falling,4,pine_tree,default,0.6,0.6,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3624,inf,0,0.0
falling,4,pine_tree,default,0.6,0.6,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3829,inf,1,0.0
falling,4,pine_tree,default,0.6,0.8,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3534,inf,0,0.0
falling,4,pine_tree,default,0.6,0.8,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3584,inf,1,0.0
falling,4,pine_tree,default,0.6,0.8,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.369,inf,0,0.0
falling,4,pine_tree,default,0.6,0.8,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3488,inf,0,0.0
falling,4,pine_tree,default,0.6,1.0,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3825,inf,0,0.0
falling,4,pine_tree,default,0.6,1.0,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3829,inf,0,0.0
falling,4,pine_tree,default,0.6,1.0,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3575,inf,0,0.0
falling,4,pine_tree,default,0.6,1.0,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3922,inf,0,0.0
falling,4,pine_tree,default,0.6,1.2,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3587,inf,0,0.0
falling,4,pine_tree,default,0.6,1.2,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.36,inf,0,0.0
falling,4,pine_tree,default,0.6,1.2,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3826,inf,0,0.0
falling,4,pine_tree,default,0.6,1.2,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3434,inf,1,0.0
falling,4,pine_tree,default,0.6,1.4,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3357,inf,0,0.0
falling,4,pine_tree,default,0.6,1.4,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3662,inf,0,0.0
falling,4,pine_tree,default,0.6,1.4,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3682,inf,1,0.0
falling,4,pine_tree,default,0.6,1.4,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3454,inf,0,0.0
falling,4,pine_tree,default,0.8,0.6,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3314,inf,2,1.0
falling,4,pine_tree,default,0.8,0.6,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3617,inf,1,0.0
falling,4,pine_tree,default,0.8,0.6,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3476,inf,1,0.0
falling,4,pine_tree,default,0.8,0.6,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3774,inf,1,0.0
falling,4,pine_tree,default,0.8,0.8,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3715,inf,0,0.0
falling,4,pine_tree,default,0.8,0.8,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3539,inf,0,0.0
falling,4,pine_tree,default,0.8,0.8,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3568,inf,0,0.0
falling,4,pine_tree,default,0.8,0.8,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3528,inf,1,0.0
falling,4,pine_tree,default,0.8,1.0,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3595,inf,0,0.0
falling,4,pine_tree,default,0.8,1.0,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3517,inf,1,0.0
falling,4,pine_tree,default,0.8,1.0,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3659,inf,0,0.0
falling,4,pine_tree,default,0.8,1.0,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3802,inf,0,0.0
falling,4,pine_tree,default,0.8,1.2,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3668,inf,0,0.0
falling,4,pine_tree,default,0.8,1.2,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3736,inf,0,0.0
falling,4,pine_tree,default,0.8,1.2,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3625,inf,0,0.0
falling,4,pine_tree,default,0.8,1.2,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3739,inf,0,0.0
falling,4,pine_tree,default,0.8,1.4,0,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3131,inf,0,0.0
falling,4,pine_tree,default,0.8,1.4,1,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3678,inf,0,0.0
falling,4,pine_tree,default,0.8,1.4,2,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3362,inf,0,0.0
falling,4,pine_tree,default,0.8,1.4,3,"Sketch Smudge, a sketch of 4 pine trees with varying heights. Taller ones are more greener.",0.3828,inf,0,0.0
